sep=,
"Name","Current balance","Account","Transfers","Description","Payee","Category","Date","Time","Incomes","Expenses","Currency","Check #"
"","","Business Gold Rewards Card","","AMZN MKTP US*MI3DE9BAMZN.COM/BI 1NX1R82JB1H BOOK STORES","Amazon","Other","03/04/2019","12:00 PM","","-94.95","USD",""
"","","Business Gold Rewards Card","","AMZN MKTP US*MI5GW3BAMZN.COM/BI 1SYP8VNQGTK BOOK STORES","Amazon","Other","03/04/2019","12:00 PM","","-17.80","USD",""
"","","Business Gold Rewards Card","","AMAZON.COM*MI0HE5H02AMZN.COM/BI 5R2P0O446PH MERCHANDISE","Amazon","Other","03/04/2019","12:00 PM","","-323.98","USD",""
"","","Business Gold Rewards Card","","CHKOUT WWW.NEWEGG.COxxx-xxx-111 xxxxxxxxx-xxxxxxxxxx x2202","Newegg","Electronics","03/04/2019","12:00 PM","","-118.78","USD",""
